num_samples,n_estimators,rounds,input_size,hidden_sizes,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,34,309,1298,0.6915955904421038,0.6666763342405643,96,69,60,105,0.6090909090909091,0.603448275862069,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,35,309,1298,0.6915955904421038,0.6666763536047658,98,67,60,105,0.6151515151515151,0.6104651162790697,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,36,309,1298,0.6915955904421038,0.6666763504289993,97,68,60,105,0.6121212121212121,0.6069364161849711,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,37,309,1298,0.6915955904421038,0.6666763538250577,92,73,57,108,0.6060606060606061,0.5966850828729282,0.6545454545454545
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,38,309,1298,0.6915955904421038,0.6666763688682492,94,71,63,102,0.593939393939394,0.5895953757225434,0.6181818181818182
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,39,309,1298,0.6915955904421038,0.6666763592675784,91,74,64,101,0.5818181818181818,0.5771428571428572,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,40,309,1298,0.6915955904421038,0.66667631908006,100,65,68,97,0.5969696969696969,0.5987654320987654,0.5878787878787879
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,41,309,1298,0.6915955904421038,0.6666763254592702,103,62,65,100,0.6151515151515151,0.6172839506172839,0.6060606060606061
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,42,309,1298,0.6915955904421038,0.6666763225899001,97,68,59,106,0.6151515151515151,0.6091954022988506,0.6424242424242425
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,43,309,1298,0.6915955904421038,0.6666763372717509,90,75,68,97,0.5666666666666667,0.563953488372093,0.5878787878787879
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,44,309,1298,0.6915955904421038,0.6666763779132262,91,74,58,107,0.6,0.5911602209944752,0.6484848484848484
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,45,309,1298,0.6915955904421038,0.666676374109163,100,65,65,100,0.6060606060606061,0.6060606060606061,0.6060606060606061
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,46,309,1298,0.6915955904421038,0.6666763502702672,95,70,65,100,0.5909090909090909,0.5882352941176471,0.6060606060606061
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,47,309,1298,0.6915955904421038,0.6666763497706122,94,71,60,105,0.603030303030303,0.5965909090909091,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,48,309,1298,0.6915955904421038,0.6666763548603474,93,72,56,109,0.6121212121212121,0.6022099447513812,0.6606060606060606
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,49,309,1298,0.6915955904421038,0.6666763376869838,97,68,61,104,0.6090909090909091,0.6046511627906976,0.6303030303030303
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,50,309,1298,0.6915955904421038,0.6666763527463455,99,66,61,104,0.6151515151515151,0.611764705882353,0.6303030303030303
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,51,309,1298,0.6915955904421038,0.6666763185670032,96,69,65,100,0.593939393939394,0.591715976331361,0.6060606060606061
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,52,309,1298,0.6915955904421038,0.6666763235275136,92,73,56,109,0.6090909090909091,0.5989010989010989,0.6606060606060606
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,53,309,1298,0.6915955904421038,0.6666763602662986,95,70,64,101,0.593939393939394,0.5906432748538012,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,54,309,1298,0.6915955904421038,0.6666763691485061,102,63,66,99,0.6090909090909091,0.6111111111111112,0.6
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,55,309,1298,0.6915955904421038,0.666676303072598,96,69,61,104,0.6060606060606061,0.6011560693641619,0.6303030303030303
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,56,309,1298,0.6915955904421038,0.6666763532076847,97,68,63,102,0.603030303030303,0.6,0.6181818181818182
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,57,309,1298,0.6915955904421038,0.6666763275849057,96,69,59,106,0.6121212121212121,0.6057142857142858,0.6424242424242425
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,58,309,1298,0.6915955904421038,0.6666763434062815,100,65,59,106,0.6242424242424243,0.6198830409356725,0.6424242424242425
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,59,309,1298,0.6915955904421038,0.6666763526897561,98,67,62,103,0.6090909090909091,0.6058823529411764,0.6242424242424243
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,60,309,1298,0.6915955904421038,0.6666763789440836,93,72,56,109,0.6121212121212121,0.6022099447513812,0.6606060606060606
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,61,309,1298,0.6915955904421038,0.6666763493159881,92,73,64,101,0.5848484848484848,0.5804597701149425,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,62,309,1298,0.6915955904421038,0.6666763325644957,96,69,63,102,0.6,0.5964912280701754,0.6181818181818182
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,63,309,1298,0.6915955904421038,0.6666763435350705,99,66,58,107,0.6242424242424243,0.6184971098265896,0.6484848484848484
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,64,309,1298,0.6915955904421038,0.6666763288899573,95,70,64,101,0.593939393939394,0.5906432748538012,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,65,309,1298,0.6915955904421038,0.6666763062802413,88,77,61,104,0.5818181818181818,0.574585635359116,0.6303030303030303
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,66,309,1298,0.6915955904421038,0.6666763760264255,100,65,64,101,0.6090909090909091,0.608433734939759,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,67,309,1298,0.6915955904421038,0.6666763395984048,94,71,67,98,0.5818181818181818,0.5798816568047337,0.593939393939394
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,68,309,1298,0.6915955904421038,0.6666763379066791,93,72,59,106,0.603030303030303,0.5955056179775281,0.6424242424242425
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,69,309,1298,0.6915955904421038,0.6666763674099203,96,69,65,100,0.593939393939394,0.591715976331361,0.6060606060606061
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,70,309,1298,0.6915955904421038,0.6666763166957641,97,68,58,107,0.6181818181818182,0.6114285714285714,0.6484848484848484
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,71,309,1298,0.6915955904421038,0.6666763798019579,96,69,55,110,0.6242424242424243,0.6145251396648045,0.6666666666666666
